continent,date,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_cases,new_deaths
Europe,01/06/2020,0,0,0,0,0,0,0
Europe,01/18/2020,0,0,0,0,0,0,0
Europe,01/24/2020,3766,104,0,0,0,1146,32
Europe,01/25/2020,5739,168,0,0,0,1973,64
Europe,01/26/2020,8475,224,0,0,0,2736,56
Europe,01/27/2020,11712,328,0,0,0,3237,104
Europe,01/28/2020,22320,524,0,0,0,10608,196
Europe,01/29/2020,24678,532,0,0,0,2358,8
Europe,01/30/2020,32950,684,0,0,0,8272,152
Europe,01/31/2020,39721,852,0,0,0,6771,168
Europe,02/01/2020,48171,1036,0,0,0,8450,184
Europe,02/02/2020,67169,1448,0,0,0,18998,412
Europe,02/03/2020,79571,1704,0,0,0,12402,256
Europe,02/04/2020,95616,1968,0,0,0,16045,264
Europe,02/05/2020,110596,2256,0,0,0,14980,288
Europe,02/06/2020,123244,2536,0,0,0,12648,280
Europe,02/07/2020,137439,2876,0,0,0,14195,340
Europe,02/08/2020,148368,3224,0,0,0,10929,348
Europe,02/09/2020,160485,3624,0,0,0,12117,400
Europe,02/10/2020,170704,4052,0,0,0,10219,428
Europe,02/11/2020,178874,4452,0,0,0,8170,400
Europe,02/12/2020,180426,4472,0,0,0,1552,20
Europe,02/13/2020,241034,5484,0,0,0,60608,1012
Europe,02/14/2020,267017,6092,0,0,0,25983,608
Europe,02/15/2020,275389,6665,0,0,0,8372,573
Europe,02/16/2020,283911,7081,0,0,0,8522,416
Europe,02/17/2020,291754,7473,0,0,0,7843,392
Europe,02/18/2020,299018,8033,0,0,0,7264,560
Europe,02/19/2020,300781,8493,0,0,0,1763,460
Europe,02/20/2020,302982,8987,0,0,0,2201,494
Europe,02/21/2020,305515,9004,0,0,0,2533,17
Europe,02/22/2020,312601,9833,0,0,0,7086,829
Europe,02/23/2020,314043,9875,0,0,0,1442,42
Europe,02/24/2020,316389,10519,0,0,0,2346,644
Europe,02/25/2020,319908,10842,0,0,0,3519,323
Europe,02/26/2020,323932,11086,0,0,0,4024,244
Europe,02/27/2020,329618,11263,0,0,0,5686,177
Europe,02/28/2020,335454,11497,0,0,0,5836,234
Europe,02/29/2020,343378,11785,0,0,0,7924,288
Europe,03/01/2020,353597,12006,0,0,0,10219,221
Europe,03/02/2020,362007,12381,0,0,0,8410,375
Europe,03/03/2020,373012,12706,0,0,0,11005,325
Europe,03/04/2020,383090,13115,0,0,0,10078,409
Europe,03/05/2020,395674,13532,0,0,0,12584,417
Europe,03/06/2020,412887,14038,0,0,0,17213,506
Europe,03/07/2020,431275,14502,0,0,0,18388,464
Europe,03/08/2020,449392,15607,0,0,0,18117,1105
Europe,03/09/2020,469035,16483,0,0,0,19643,876
Europe,03/10/2020,491094,17772,0,0,0,22059,1289
Europe,03/11/2020,526378,19387,0,0,0,35312,1615
Europe,03/12/2020,552851,20816,0,0,0,26473,1429
Europe,03/13/2020,620414,23154,0,0,0,67563,2338
Europe,03/14/2020,672212,25102,0,0,0,51798,1948
Europe,03/15/2020,724697,28159,0,0,0,52485,3057
Europe,03/16/2020,794056,31403,0,0,0,69359,3244
Europe,03/17/2020,868076,35240,0,0,0,74020,3837
Europe,03/18/2020,958705,39506,0,0,0,90629,4266
Europe,03/19/2020,1083923,44761,0,0,0,125218,5255
Europe,03/20/2020,1224943,51879,0,0,0,141022,7118
Europe,03/21/2020,1372085,60116,0,0,0,147148,8237
Europe,03/22/2020,1530042,68111,0,0,0,157957,7995
Europe,03/23/2020,1722963,77402,0,0,0,192921,9291
Europe,03/24/2020,1907666,88310,0,0,0,184718,10908
Europe,03/25/2020,2138562,101615,0,0,0,230896,13305
Europe,03/26/2020,2421061,115853,0,0,0,282499,14238
Europe,03/27/2020,2711226,132129,0,0,0,290165,16276
Europe,03/28/2020,3021646,149900,0,0,0,310420,17771
Europe,03/29/2020,3274765,166132,0,0,0,253119,16232
